place_name;rating;address;city;province;makanan_khas
Pantai Wedi Putih Kebumen;4;797Q+MVJ, Hutan, Argopeni, Ayah, Kebumen Regency, Central Java 54473, Indonesia;kebumen;jawa tengah;Sate Ambal, Nasi Penggel, Yutuk
Laguna Beach;4;6GMG+F5J, Jl. Lintas Selatan, Area Pantai, Waluyorejo, Puring, Kebumen Regency, Central Java 54383, Indonesia;kebumen;jawa tengah;Sate Ambal, Nasi Penggel, Yutuk
Umbul Temple;4;J7RW+5R7, Jl. Candi Umbul, Perkebunan, Kartoharjo, Grabag, Magelang Regency, Central Java 56196, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Segrowong;4;Q58X+F2R, Rowo Seneng, Hutan, Gesing, Kandangan, Temanggung Regency, Central Java 56281, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Slamaran Beach;4;4PQ2+5M5, Krapyak Lor, Pekalongan Utara, Pekalongan City, Central Java 51149, Indonesia;pekalongan;jawa tengah;Nasi Megono, Tauto, Pindang Tetel
Mangrove EduPark;4;29R6+M5H, Tugurejo, Tugu, Semarang City, Central Java 50182, Indonesia;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Solo Safari;4;Jl. Ir. Sutami No.109, Jebres, Surakarta City, Central Java 57126, Indonesia;surakarta;jawa tengah;Serabi Notosuman, Nasi Liwet, Gudeg Ceker, Sate Buntel, Timlo Solo, Tengkleng, Selat Solo
Sekartaji Park;4;Jl. Tentara Pelajar No.77, Jebres, Surakarta City, Central Java 57126, Indonesia;surakarta;jawa tengah;Serabi Notosuman, Nasi Liwet, Gudeg Ceker, Sate Buntel, Timlo Solo, Tengkleng, Selat Solo
Kedung Pengilon;4;47VQ+JHM, Petung, Bangunjiwo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55751, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Jurang Pulosari;4;47QP+JR8, Sendangsari, Pajangan, Krebet, Sendangsari, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55751, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Watu Ngelak;4;Desa Wisata Puton, Puton, Trimulyo, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Bukit Pandawa;4;773J+38P, Area Sawah, Sidorejo, Godean, Sleman Regency, Special Region of Yogyakarta 55264, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Village Tourism New Nglepen;4;5GP3+F9F, Sengir, Sumberharjo, Prambanan, Sleman Regency, Special Region of Yogyakarta 55572, Indonesia;sleman;yogyakarta;Gudeg, Bakpia, Sate Kelinci, Jadah Tempe
Luweng Sampang Waterfalls;4;Jl. Juminahan, Kayen, Sampang, Gedang Sari, Gunung Kidul Regency, Special Region of Yogyakarta 55863, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Telaga Remis;4;Kaduela, Pasawahan, Kuningan Regency, West Java 45559, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Curug Sawer;4;485X+CFC, Argamukti, Kec. Argapura, Kabupaten Majalengka, Jawa Barat 45462, Indonesia;majalengka;jawa barat;Kecap Majalengka, Jalakotek
Desa Wisata Sari Bunihayu;4;8MQW+G9C, Jalancagak, Subang Regency, West Java 41281, Indonesia;subang;jawa barat;Nanas Simadu
BUMI TALAGA SUNDAYANA;4;Dangdeur, Kec. Subang, Kabupaten Subang, Jawa Barat 41211, Indonesia;subang;jawa barat;Nanas Simadu
Tanjung Kait Beach;4;Jl. Raya Tanjung Kait, Tanjung Anom, Mauk, Tangerang Regency, Banten 15330, Indonesia;tangeran;banten;Laksa Tangerang, Sayur Besan, Dodol Cilenggang
Telaga Biru Cisoka;4;PCCJ+Q6X, Jalan Cigaru, Cisoka, Kec. Cisoka, Kabupaten Tangerang, Banten 15730, Indonesia;tangeran;banten;Laksa Tangerang, Sayur Besan, Dodol Cilenggang
Koja Cliff Park;4;M9PX+55H, Cireundeu, Cikuya, Kec. Solear, Kabupaten Tangerang, Banten 15730, Indonesia;tangeran;banten;Laksa Tangerang, Sayur Besan, Dodol Cilenggang
Ocean Ecopark;4;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
Pulau Pari;4;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
Pasar Tanah Abang;4;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
Pulau Semak Daun;4;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
Museum Joang 45;4;;jakarta;dki jakarta;Nasi Uduk, Soto Betawi, Ketoprak, Kerak Telor, Gado-Gado, Roti Buaya, Asinan Betawi, Kue Cucur
Kampung Wisata Sosro Menduran;4;;kota Yogyakarta;yogyakarta;Gudeg, Bakpia, Krecek, Oseng Mercon
Kawasan Wisata Sosrowijayan;4;;kota Yogyakarta;yogyakarta;Gudeg, Bakpia, Krecek, Oseng Mercon
Pantai Kukup;4;;kota Yogyakarta;yogyakarta;Gudeg, Bakpia, Krecek, Oseng Mercon
Pantai Samas;4;;kota Yogyakarta;yogyakarta;Gudeg, Bakpia, Krecek, Oseng Mercon
Kebun Binatang Bandung;4;;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Rabbit Town;4;;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Curug Dago;4;;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Upside Down World Bandung;4;;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Curug Cilengkrang;4;;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Water Park Bandung Indah;4;;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Taman Kupu-Kupu Cihanjuang;4;;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Pantai Baruna;4;;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Pantai Cipta;4;;semarang;jawa tengah;Lumpia, Wingko Babat, Bandeng Presto, Ganjel Rel, Tahu Gimbal, Mie Kopyok
Taman Galuh;4,1;X6XH+2XC, Jalan, Giri Mulyo, Sumber Rejo, Kec. Ijen, Kabupaten Bondowoso, Jawa Timur 68288, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Air Terjun Gentongan;4,1;X5GJ+HPR, Kebunjeruk, Kalianyar, Ijen, Bondowoso Regency, East Java 68288, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Tasnan Forest;4,1;2R93+RM2, Congkrong Timur, Taman, Kec. Grujugan, Kabupaten Bondowoso, Jawa Timur 68261, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Puncak Pesona P28 Patirana;4,1;P28 Patirana Bondowoso, Jl. Patirana, Krajan, Wonosari, Kec. Grujugan, Kabupaten Bondowoso, Jawa Timur 68261, Indonesia;bondowoso;jawa timur;Tape Bondowoso
Telaga Ngipik;4,1;RJVM+7JP, Jarangkuwung, Ngipik, Gresik, Gresik Regency, East Java 61151, Indonesia;gresik;jawa timur;Nasi Krawu, Pudak, Otak-otak Bandeng
Twin Lake Kemangi;4,1;XHG8+269, Sidokumpul, Kemangi, Kec. Bungah, Kabupaten Gresik, Jawa Timur 61152, Indonesia;gresik;jawa timur;Nasi Krawu, Pudak, Otak-otak Bandeng
Wisata Pantai Talang Siring Pamekasan;4,1;Pacanan, Montok, Larangan, Pamekasan Regency, East Java 69383, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Wisata Bukit Kehi;4,1;WJF5+78P, Moccol, Kertagena Daya, Kec. Kadur, Kabupaten Pamekasan, Jawa Timur 69355, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Boekit Tinggi Daramista;4,1;XQRX+WX5, Billa Tompok, Daramesta, Lenteng, Sumenep Regency, East Java 69461, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Wide Cave;4,1;R734+X5J, Rw. I, Rong Tengah, Sampang, Sampang Regency, East Java 69216, Indonesia;madura;jawa timur;Sate Madura, Soto Madura, Bebek Sinjay, Bebek Songkem, Topak Ladeh
Coban Rais;4,1;Jalur Lkr. Bar. No.8, Oro-Oro Ombo, Kec. Batu, Kota Batu, Jawa Timur 65316, Indonesia;malang;jawa timur;Bakso Malang, Cwie Mie Malang, Orem-orem, Mendol, Sari Apel, Wedang Angsle
Air Terjun Coban Cemoro Gading;4,1;3VGC+QQ7, Cemorogading, Ngadirejo, Kec. Tutur, Pasuruan, Jawa Timur 67165, Indonesia;pasuruan;jawa timur;Kupat Tahu Pasuruan, Rawon
Telaga Ngipik;4,1;RJVM+7JP, Jarangkuwung, Ngipik, Gresik, Gresik Regency, East Java 61151, Indonesia;surabaya;jawa timur;Rawon, Rujak Cingur, Lontong Balap, Tahu Tek, Tahu Telor, Soto Sulung, Sate Klopo, Lapis Surabaya, Krengsengan
Twin Lake Kemangi;4,1;XHG8+269, Sidokumpul, Kemangi, Kec. Bungah, Kabupaten Gresik, Jawa Timur 61152, Indonesia;surabaya;jawa timur;Rawon, Rujak Cingur, Lontong Balap, Tahu Tek, Tahu Telor, Soto Sulung, Sate Klopo, Lapis Surabaya, Krengsengan
Pantai Socorejo;4,1;6W62+R53, Karangdowo, Socorejo, Kec. Jenu, Kabupaten Tuban, Jawa Timur 62352, Indonesia;tuban;jawa timur;Kare Rajungan, Dumbek
Jati park (ria nada channel);4,1;VHH2+WMF, desa, Ngrajeg, Jragung, Kec. Karangawen, Kabupaten Demak, Jawa Tengah 59566, Indonesia;demak;jawa tengah;Asem-asem Demak, Nasi Ndoreng, Wedang Pekak
Pantai Pungkruk;4,1;FM78+9R6, Rw. 01, Mororejo, Mlonggo, Jepara Regency, Central Java, Indonesia;jepara;jawa tengah;Pindang Serani, Horog-horog, Adon-adon Coro
Tiara Park Waterboom;4,1;7P77+VFF, Jl. Raya Kenari, Purwogondo IV, Purwogondo, Kalinyamatan, Jepara Regency, Central Java 59462, Indonesia;jepara;jawa tengah;Pindang Serani, Horog-horog, Adon-adon Coro
Pantai Teluk Awur Jepara;4,1;Jl. Tlk. Awur, Telukawur, Kec. Tahunan, Kabupaten Jepara, Jawa Tengah, Indonesia;jepara;jawa tengah;Pindang Serani, Horog-horog, Adon-adon Coro
Waterboom Mulia Wisata;4,1;Jl. Raya Kudus - Colo No.KM, RW.12, Lau, Dawe, Kudus Regency, Central Java 59353, Indonesia;kudus;jawa tengah;Soto Kudus, Jenang Kudus, Lentog Tanjung, Nasi Pindang
Taman Lampion;4,1;Jl. Gor No.103, Wergu Wetan, Kec. Kota Kudus, Kabupaten Kudus, Jawa Tengah 59318, Indonesia;kudus;jawa tengah;Soto Kudus, Jenang Kudus, Lentog Tanjung, Nasi Pindang
Wana Wisata Kajar;4,1;Jl. Raya Kudus - Colo, Dersaya, Kajar, Kec. Dawe, Kabupaten Kudus, Jawa Tengah 59353, Indonesia;kudus;jawa tengah;Soto Kudus, Jenang Kudus, Lentog Tanjung, Nasi Pindang
Wisata Cengkir Manis;4,1;Jl. Tanjungrejo No.08/06, Kedungmojo, Tanjungrejo, Kec. Jekulo, Kabupaten Kudus, Jawa Tengah 59382, Indonesia;kudus;jawa tengah;Soto Kudus, Jenang Kudus, Lentog Tanjung, Nasi Pindang
Bukit Grenden Magelang;4,1;G9QX+M8P, Pakis-Ngablak, Kuwiden, Pakis, Kec. Pakis, Kabupaten Magelang, Jawa Tengah 56193, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Makam Kyai Langgeng - Kota Magelang;4,1;Kemirirejo, Magelang Tengah, Magelang City, Central Java 56122, Indonesia;magelang;jawa tengah;Kupat Tahu, Mangut Beong, Sup Senerek, Getuk Gondok
Watu Bahan;4,1;WMFX+V6C, Kebun, Lemah Abang, Kec. Doro, Kabupaten Pekalongan, Jawa Tengah 51191, Indonesia;pekalongan;jawa tengah;Nasi Megono, Tauto, Pindang Tetel
Wisata Mangrove Park Pekalongan;4,1;4MRG+M27, Kandang Panjang, Pekalongan Utara, Pekalongan City, Central Java 51149, Indonesia;pekalongan;jawa tengah;Nasi Megono, Tauto, Pindang Tetel
Purwokerto City Walk;4,1;H6WV+P8P, Ruko City Walk, Blok E4-5, Pakembaran, Bancarkembar, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53121, Indonesia;purwokerto;jawa tengah;Soto Sokaraja, Tempe Mendoan, Getuk Goreng
The Geong Puncak Guci Tegal;4,1;R526+CXR, Guci, Kecamatan Bumijawa, Kabupaten Tegal, Jawa Tengah 52466, Indonesia;tegal;jawa tengah;Sate Tegal, Tahu Aci, Kupat Glabed, Teh Poci, Sauto
Telaga Claket;4,1;Jl. Claket Jl. Ngawen, Keblokan, Sendangijo, Kec. Selogiri, Kabupaten Wonogiri, Jawa Tengah 57652, Indonesia;wonogiri;jawa tengah;Nasi Tiwul, Kacang Mete, Cabuk
Bukit Jonambang;4,1;2W3X+3VX, Dawe, Watuagung, Kec. Baturetno, Kabupaten Wonogiri, Jawa Tengah 57673, Indonesia;wonogiri;jawa tengah;Nasi Tiwul, Kacang Mete, Cabuk
Gunung Gandul Wonogiri;4,1;5WM7+QXH, Area Hutan, Giriwono, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57613, Indonesia;wonogiri;jawa tengah;Nasi Tiwul, Kacang Mete, Cabuk
Jurug Kemukus;4,1;W3VX+VCR, Posong, Karangtengah, Kec. Karangtengah, Kabupaten Wonogiri, Jawa Tengah 57677, Indonesia;wonogiri;jawa tengah;Nasi Tiwul, Kacang Mete, Cabuk
Curug Winong Waterfall;4,1;GVRW+2WV, Satu, Winongsari, Kaliwiro, Wonosobo Regency, Central Java 56364, Indonesia;wonosobo;jawa tengah;Mie Ongklok, Tempe Kemul, Carica
puncak bucu;4,1;Ngelosari, Srimulyo, Piyungan, Nganyang, Sitimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Wisata Alam Jurug Gedhe꧋ꦮꦠꦸꦥꦪꦸꦁ;4,1;5GGP+7J2, Gembyong, Ngoro-oro, Patuk, Gunung Kidul Regency, Special Region of Yogyakarta 55862, Indonesia;gunung kidul;yogyakarta;Gudeg, Tiwul, Belalang Goreng
Randusari Falls;4,1;Jl. Randusari No.Rt 03, Rejosari, Jatimulyo, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Pesona Pengklik - Pantai Samas;4,1;Sogo Sanden, Srigading, Sanden, Bantul Regency, Special Region of Yogyakarta 55763, Indonesia;bantul;yogyakarta;Gudeg, Bakpia, Sate Klathak, Mangut Lele, Geplak
Embung Kleco;4,1;65F7+MHW, Ngesong, Giripurwo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674, Indonesia;kulon progo;yogyakarta;Gudeg, Geblek, Growol
Bandung Zoo (Kebun Binatang Bandung);4,1;Jl. Kebun Binatang No.6, Lebak Siliwangi, Coblong, Bandung City, West Java 40132, Indonesia;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Taman Jomblo;4,1;Jl. Tamansari No.66, Lebak Siliwangi, Coblong, Bandung City, West Java 40132, Indonesia;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Pemandian Air Panas Ciwalini;4,1;Jl. Raya Ciwidey - Patengan Tenjolaya Ciwidey, Patengan, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40972, Indonesia;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Pine Valley Cikole;4,1;Jl. Raya Tangkuban Parahu, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391, Indonesia;bandung;jawa barat;Siomay, Batagor, Mie Kocok, Seblak, Cimol, Ambokueh, Colenak, Surabi, Peuyeum
Puncak fantasy land;4,1;8WR7+9GH, Jl. Raya Puncak - Cianjur, Leuwimalang, Kec. Cisarua, Kabupaten Bogor, Jawa Barat, Indonesia;bogor;jawa barat;Soto Mie Bogor, Asinan Bogor, Roti Unyil, Cungkring, Tauge Goreng, Lapis Talas
Jayanti Beach;4,1;Jl. Pantai Jayanti, Cidamar, Cidaun, Cianjur Regency, West Java 43275, Indonesia;cianjur;jawa barat;Manisan Cianjur, Geco
Kejawanan Beach;4,1;7H8P+V6W, Jl raya kali jaga kejawanan, Jl. Pelabuhan Perikanan, Pegambiran, Kec. Lemahwungkuk, Kota Cirebon, Jawa Barat 45112, Indonesia;cirebon;jawa barat;Empal Gentong, Tahu Gejrot, Nasi Jamblang, Nasi Lengko
Pantai kesenden;4,1;8H56+FQ4, Pasindangan, Gunungjati, Cirebon, West Java 45151, Indonesia;cirebon;jawa barat;Empal Gentong, Tahu Gejrot, Nasi Jamblang, Nasi Lengko
Taman Krucuk Cirebon;4,1;8H23+8GG, Jl. Raya Indramayu - Cirebon, Kesenden, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45121, Indonesia;cirebon;jawa barat;Empal Gentong, Tahu Gejrot, Nasi Jamblang, Nasi Lengko
Waterland Cirebon;4,1;Jl. Yos Sudarso No.1, Lemahwungkuk, Cirebon City, West Java 45111, Indonesia;cirebon;jawa barat;Empal Gentong, Tahu Gejrot, Nasi Jamblang, Nasi Lengko
Wisata Zona Mangrove Kasih Sayang;4,1;6HVW+CW9, Mundupesisir, Mundu, Cirebon, West Java, Indonesia;cirebon;jawa barat;Empal Gentong, Tahu Gejrot, Nasi Jamblang, Nasi Lengko
Wisata Banyu Panas Palimanan;4,1;Jalan Raya, West Palimanan, Palimanan, Cirebon, West Java 45161, Indonesia;cirebon;jawa barat;Empal Gentong, Tahu Gejrot, Nasi Jamblang, Nasi Lengko
Natural Park (TWA) Linggarjati;4,1;4F8G+FRJ, Linggasana, Cilimus, Kuningan Regency, West Java 45556, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Wisata Bukit Panembongan;4,1;Tembong, Kec. Garawangi, Kabupaten Kuningan, Jawa Barat 45571, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Wisata Side Land (kolam renang dengan pemandangan yang keren);4,1;Wisata side land, Kaduela, Kec. Pasawahan, Kabupaten Kuningan, Jawa Barat 45559, Indonesia;kuningan;jawa barat;Tape Ketan, Tahu Kuningan, Lepet Kuningan
Taman Dinosaurus;4,1;255P+FJ9, Lemah Putih, Kec. Lemahsugih, Kabupaten Majalengka, Jawa Barat 45465, Indonesia;majalengka;jawa barat;Kecap Majalengka, Jalakotek
Situ Cipondoh;4,1;Jl. KH. Hasyim Ashari No.99, RT.002/RW.009, Cipondoh, Tangerang City, Banten 15122, Indonesia;tangeran;banten;Laksa Tangerang, Sayur Besan, Dodol Cilenggang
Tempat wisata di banyuwangi;4,2;perum adimas diponegoro No.02, Lingkungan Cuking Rw., Mojopanggung, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68415, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
Tourism Village Osing;4,2;Dusun Krajan, Kemiren, Glagah, Banyuwangi Regency, East Java 68432, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
Green Gumuk Candi;4,2;Dusun Gumuk Candi RT03/RW04 Songgon, Gumuk Candi, Songgon, Kec. Songgon, Kabupaten Banyuwangi, Jawa Timur 68463, Indonesia;banyuwangi;jawa timur;Rujak Soto, Sego Tempong, Pecel Rawon, Kue Bagiak, Bolu Kuwuk
